item_name,category,size,color,condition,description,quantity,price,status
Denim Skirt 1,Bottom,M,Blue,Pre-Loved,Classic denim skirt in great condition with minimal wear,5,2500.00,Available
White Cotton T-Shirt,Top,S,White,New,100% organic cotton t-shirt fresh from stock,15,450.00,Available
Black Skinny Jeans,Bottom,L,Black,Pre-Loved,Comfortable fit jeans lightly worn,8,1200.00,Available
Floral Summer Dress,Dresses,M,Multicolor,New,Beautiful floral print perfect for summer,3,1800.00,Available
Grey Hoodie,Outerwear,XL,Grey,Branded,Premium brand hoodie excellent condition,6,1500.00,Available
Red Silk Blouse,Top,M,Red,Vintage,Elegant vintage silk blouse from the 80s,2,3200.00,Available
Navy Blue Chinos,Bottom,32,Navy,Pre-Loved,Classic chinos perfect for casual wear,10,950.00,Available
Striped Polo Shirt,Top,L,White/Blue,New,Comfortable polo shirt with classic stripes,12,680.00,Available
Beige Cardigan,Outerwear,S,Beige,Pre-Loved,Cozy cardigan for cool weather,4,1100.00,Available
Green Corduroy Jacket,Outerwear,M,Green,Vintage,Rare vintage corduroy in excellent condition,1,4500.00,Available
